,permalink,company_name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,days_in_op,first_funding_dayinop,last_funding_dayinop,sa_funded_at,sa_raised_amount_usd,sa_funded_daysop,ag_funded_at,ag_raised_amount_usd,ve_funded_at,ve_raised_amount_usd,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,cr_funded_at,cr_raised_amount_usd,cr_funded_daysop,ave_inf_y
0,/company/waywire,#waywire,news,1750000,operating,USA,NY,New York,New York,1,2012-06-01,6,2012-Q2,2012,2012-06-30,2012-06-30,2013-09-06,487 days 00:00:00.000000000,29.0,29 days 00:00:00.000000000,2012-06-30,1750000.0,29.0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,22.19131313
1,/company/1000memories,1000memories,web,2535000,acquired,USA,CA,SF Bay,San Francisco,2,2010-07-01,7,2010-Q3,2010,2010-01-01,2011-02-16,2013-07-04,1188 days 00:00:00.000000000,-181.0,230 days 00:00:00.000000000,2011-02-16,2520000.0,230.0,2010-01-01 00:00:00,15000.0,0,0.0,-181.0,0.0,1,0,0,0,0,0,0.0,0.0,21.02585859
2,/company/100plus,100Plus,analytics,1250000,acquired,USA,CA,SF Bay,San Francisco,2,2011-09-16,9,2011-Q3,2011,2011-11-02,2011-11-30,2013-02-27,746 days 00:00:00.000000000,47.0,75 days 00:00:00.000000000,1970-01-01,0.0,-15233.0,2011-11-30 00:00:00,750000.0,2011-11-02 00:00:00,500000.0,75.0,47.0,1,0,0,0,0,0,0.0,0.0,21.72111111
3,/company/1010data,1010data,software,35000000,operating,USA,NY,New York,New York,1,2000-01-01,1,2000-Q1,2000,2010-03-08,2010-03-08,2012-01-01,5022 days 00:00:00.000000000,3719.0,3719 days 00:00:00.000000000,1970-01-01,0.0,-10957.0,0,0.0,2010-03-08 00:00:00,35000000.0,0.0,3719.0,0,1,0,0,0,0,0.0,0.0,16.39393939
4,/company/121nexus,121nexus,software,719000,operating,USA,RI,Providence,Providence,4,2011-10-07,10,2011-Q4,2011,2012-02-06,2013-07-01,2012-04-27,725 days 00:00:00.000000000,122.0,633 days 00:00:00.000000000,1970-01-01,0.0,-15254.0,2012-02-06 00:00:00,569000.0,0,0.0,122.0,0.0,0,0,0,0,0,0,0.0,0.0,21.72111111
5,/company/1366-technologies,1366 Technologies,manufacturing,48950000,operating,USA,MA,Boston,Lexington,6,2007-01-01,1,2007-Q1,2007,2008-03-27,2011-02-07,2011-06-17,2465 days 00:00:00.000000000,451.0,1498 days 00:00:00.000000000,2008-03-27,12400000.0,451.0,0,0.0,2010-02-03 00:00:00,5150000.0,0.0,1129.0,0,0,1,0,0,0,0.0,0.0,19.94363636
6,/company/140-proof,140 Proof,advertising,5500000,operating,USA,CA,SF Bay,San Francisco,2,2010-01-11,1,2010-Q1,2010,2009-07-01,2011-04-28,2013-01-24,1359 days 00:00:00.000000000,-194.0,472 days 00:00:00.000000000,2009-07-01,3000000.0,-194.0,0,0.0,0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,21.02585859
7,/company/140fire,140Fire,advertising,500000,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,1,2010-Q1,2010,2010-05-05,2010-05-05,2011-02-24,1369 days 00:00:00.000000000,124.0,124 days 00:00:00.000000000,1970-01-01,0.0,-14610.0,2010-05-05 00:00:00,500000.0,0,0.0,124.0,0.0,1,0,0,0,0,0,0.0,0.0,21.02585859
8,/company/15five,15Five,software,1200000,operating,USA,CA,SF Bay,San Francisco,2,2011-05-01,5,2011-Q2,2011,2012-01-01,2013-01-15,2013-09-19,884 days 00:00:00.000000000,245.0,625 days 00:00:00.000000000,1970-01-01,0.0,-15095.0,2012-01-01 00:00:00,200000.0,2013-01-15 00:00:00,1000000.0,245.0,625.0,1,0,0,0,0,0,0.0,0.0,21.72111111
9,/company/169-st,169 ST.,games_video,50000,operating,USA,FL,Orlando,Lake Mary,1,2009-05-15,5,2009-Q2,2009,2009-06-01,2009-06-01,2009-05-01,1600 days 00:00:00.000000000,17.0,17 days 00:00:00.000000000,1970-01-01,0.0,-14379.0,2009-06-01 00:00:00,50000.0,0,0.0,17.0,0.0,0,0,0,0,0,0,0.0,0.0,20.67040404
