YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AVE
2018,24.29255102,24.4072449,24.46469388,24.56591837,24.6722449,24.71316327,,,,,,,
2017,23.7794898,23.85744898,23.87765306,23.95142857,23.9727551,23.99540816,23.97816327,24.05295918,24.18561224,24.16969388,24.17030612,24.1555102,23.75959596
2016,23.17510204,23.195,23.29918367,23.41438776,23.51316327,23.59367347,23.55387755,23.57642857,23.6355102,23.66622449,23.62785714,23.63591837,23.24323232
2015,22.84765306,22.95122449,23.09377551,23.1427551,23.26581633,23.35081633,23.35244898,23.31795918,23.28010204,23.26918367,23.21795918,23.13520408,22.94111111
2014,22.86897959,22.9572449,23.11153061,23.19102041,23.2755102,23.32071429,23.31122449,23.27061224,23.28887755,23.22785714,23.09704082,22.96040816,22.91272727
2013,22.49795918,22.69040816,22.75234694,22.72765306,22.76989796,22.82693878,22.83632653,22.865,22.8927551,22.83122449,22.78255102,22.7805102,22.5310101
2012,22.12908163,22.23091837,22.40734694,22.47806122,22.4505102,22.41612245,22.37795918,22.50806122,22.61295918,22.60377551,22.49193878,22.42867347,22.19131313
2011,21.47173469,21.58255102,21.8027551,21.94959184,22.05755102,22.03285714,22.05326531,22.11683673,22.15193878,22.10418367,22.08469388,22.0277551,21.72111111
2010,21.11091837,21.11642857,21.2072449,21.24581633,21.26306122,21.24132653,21.24602041,21.27673469,21.28969388,21.31744898,21.32683673,21.36520408,21.02585859
2009,20.54520408,20.65234694,20.705,20.75918367,20.82204082,21.0094898,20.97459184,21.02387755,21.03765306,21.05887755,21.0744898,21.03561224,20.67040404
2008,20.53877551,20.60132653,20.78857143,20.92071429,21.10530612,21.32806122,21.44530612,21.35571429,21.32479592,21.09928571,20.67602041,20.45183673,20.74777778
2007,19.65469388,19.76520408,19.95428571,20.09040816,20.21928571,20.26040816,20.255,20.21602041,20.2744898,20.32,20.44663265,20.4322449,19.94363636
2006,19.23469388,19.2755102,19.3877551,19.56122449,19.66326531,19.70408163,19.76530612,19.80612245,19.70408163,19.59183673,19.56122449,19.59183673,19.36363636
2005,18.45918367,18.57142857,18.7244898,18.85714286,18.83673469,18.84693878,18.93877551,19.04081633,19.28571429,19.32653061,19.16326531,19.08163265,18.72727273
2004,17.89795918,18,18.12244898,18.18367347,18.29591837,18.35714286,18.32653061,18.33673469,18.37755102,18.47959184,18.48979592,18.41836735,18.08080808
2003,17.54081633,17.68367347,17.79591837,17.75510204,17.7244898,17.74489796,17.76530612,17.83673469,17.89795918,17.87755102,17.82653061,17.80612245,17.58181818
2002,17.07142857,17.14285714,17.24489796,17.34693878,17.34693878,17.35714286,17.37755102,17.43877551,17.46938776,17.5,17.5,17.45918367,17.16969697
2001,16.86734694,16.93877551,16.97959184,17.05102041,17.13265306,17.16326531,17.1122449,17.1122449,17.19387755,17.13265306,17.10204082,17.03061224,16.88888889
2000,16.2244898,16.32653061,16.46938776,16.47959184,16.5,16.59183673,16.63265306,16.63265306,16.7244898,16.75510204,16.76530612,16.75510204,16.39393939
1999,15.76530612,15.78571429,15.83673469,15.95918367,15.95918367,15.95918367,16.01020408,16.05102041,16.13265306,16.16326531,16.17346939,16.17346939,15.82828283
1998,15.48979592,15.52040816,15.55102041,15.58163265,15.6122449,15.63265306,15.65306122,15.67346939,15.69387755,15.73469388,15.73469388,15.7244898,15.46464646
1997,15.23469388,15.28571429,15.32653061,15.34693878,15.33673469,15.35714286,15.37755102,15.40816327,15.44897959,15.48979592,15.47959184,15.45918367,15.21212121
1996,14.75510204,14.80612245,14.8877551,14.94897959,14.97959184,14.98979592,15.02040816,15.05102041,15.10204082,15.15306122,15.18367347,15.18367347,14.84848485
