,company_name,status,country_code,state_code,days_in_op,first_funding_dayinop,sa_funded_daysop,cr_funded_daysop,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,founded_month,ave_inf_y,sa_raised_amount_usd_adj,ag_raised_amount_usd_adj,ve_raised_amount_usd_adj,cr_raised_amount_usd_adj,software,Biotech,health,web,mobile,enterprise,hardware,advertising,security,manufacturing,social,semiconductor,medical,consulting,education,search,messaging,news,transportation,fashion
1,1-800-DENTIST,operating,USA,CA,10929.0,8996.0,0.0,0.0,0.0,8996.0,1,0,0,0,0,1,10.07070707,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1-800-DOCTORS,operating,USA,NJ,11660.0,9922.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,9.494949495,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10-20 Media,operating,USA,MD,5450.0,3090.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,16.88888889,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1010data,acquired,USA,NY,5816.0,3719.0,0.0,0.0,0.0,3719.0,0,1,0,0,0,1,16.39393939,0.0,0.0,23800000.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,170 Systems,acquired,USA,MA,9468.0,4488.0,4488.0,0.0,0.0,0.0,0,0,1,0,0,1,12.2020202,7280000.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1Life Healthcare,operating,USA,CA,5085.0,4097.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,17.16969697,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1stdibs,operating,USA,NY,5450.0,3958.0,0.0,0.0,4291.0,3958.0,0,1,0,0,0,1,16.88888889,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20/20 Gene Systems Inc.,operating,USA,MD,5695.0,4530.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,16.39393939,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,22nd Century Group,ipo,USA,NY,6546.0,4744.0,5433.0,0.0,5515.0,0.0,0,1,0,0,0,1,15.46464646,1578525.0,43680.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,[24]7,operating,USA,CA,5725.0,1186.0,0.0,0.0,0.0,0.0,1,0,0,0,0,4,16.39393939,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2Checkout,operating,USA,OH,6181.0,5675.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,15.82828283,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"2nd Story Software, Inc.",acquired,USA,IA,6501.0,2600.0,0.0,0.0,0.0,2600.0,0,0,0,0,0,2,15.46464646,0.0,0.0,55250000.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2NDNATURE,operating,USA,CA,4355.0,3377.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,18.08080808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3 day Blinds,acquired,USA,CA,11660.0,5185.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,9.494949495,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"360fly, Inc.",operating,USA,PA,6546.0,6066.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,15.46464646,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,360imaging,operating,USA,GA,3989.0,2495.0,1826.0,0.0,0.0,0.0,0,0,0,0,0,1,18.72727273,3900000.0,390000.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Basecamp,operating,USA,IL,6181.0,2738.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,15.82828283,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,3Cinteractive,operating,USA,FL,3989.0,2250.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18.72727273,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3CLogic,operating,USA,MD,3989.0,2935.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18.72727273,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3D Systems,ipo,USA,SC,10929.0,10241.0,9654.0,0.0,0.0,8778.0,0,0,0,0,0,1,10.07070707,1351976.33,0.0,430000.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3dCart Shopping Cart Software,operating,USA,FL,6791.0,4628.0,0.0,0.0,4628.0,0.0,0,0,0,0,0,5,15.21212121,0.0,800000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3Guppies,operating,USA,WA,4720.0,1190.0,1190.0,0.0,0.0,0.0,0,0,0,0,1,1,17.58181818,14600000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3Jam,operating,USA,CA,3989.0,911.0,911.0,0.0,0.0,0.0,1,0,0,0,0,1,18.72727273,3120000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,3Leaf,acquired,USA,CA,4203.0,214.0,0.0,0.0,0.0,0.0,1,0,0,0,0,6,18.08080808,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3PAR,acquired,USA,CA,6181.0,486.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,15.82828283,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3SI Security Systems,operating,USA,PA,16408.0,11532.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,3.0909090910000003,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,3TIER,acquired,USA,WA,6181.0,3169.0,0.0,0.0,0.0,3639.0,0,0,0,0,1,1,15.82828283,0.0,0.0,6600000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3VR,operating,USA,CA,5085.0,1477.0,2571.0,0.0,0.0,3276.0,1,0,0,0,0,1,17.16969697,3550000.0,0.0,12070000.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,41st Parameter,acquired,USA,CA,4355.0,858.0,0.0,0.0,0.0,2182.0,1,0,0,0,0,1,18.08080808,0.0,0.0,2845927.5,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,422 Group,operating,USA,GA,4355.0,2357.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18.08080808,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,CAD CAD Design Services,operating,USA,WA,4128.0,78.0,0.0,0.0,0.0,0.0,0,0,0,0,1,8,18.08080808,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,490 Entertainment,operating,USA,NY,8983.0,8507.0,0.0,0.0,0.0,0.0,0,1,0,0,0,5,12.75757576,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4Cable TV,operating,USA,SC,3989.0,3201.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18.72727273,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
