,index,company_name,status,category_code,CA,NY,MA,TX,WA,founded_month,first_funding_dayinop,ave_inf_y,ag_funded_daysop,ag_raised_amount_usd_adj,cr_funded_daysop,cr_raised_amount_usd_adj,sa_funded_daysop,sa_raised_amount_usd_adj
0,0,1-800-DENTIST,operating,health,1,0,0,0,0,1,8996.0,10.07070707,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10-20 Media,operating,ecommerce,0,0,0,0,0,1,3375.0,16.88888889,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1010data,operating,software,0,1,0,0,0,1,3719.0,16.39393939,0.0,0.0,0.0,0.0,0.0,0.0
3,3,170 Systems,acquired,software,0,0,1,0,0,1,4488.0,12.2020202,0.0,0.0,0.0,0.0,0.0,0.0
4,4,1stdibs,operating,ecommerce,0,1,0,0,0,1,3958.0,16.88888889,4291.0,0.0,0.0,0.0,0.0,0.0
5,5,22nd Century Group,ipo,biotech,0,1,0,0,0,1,5109.0,15.46464646,5515.0,43680.0,0.0,0.0,0.0,0.0
6,6,"2nd Story Software, Inc.",acquired,software,0,0,0,0,0,2,2600.0,15.46464646,0.0,0.0,0.0,0.0,0.0,0.0
7,7,37signals,operating,public_relations,0,0,0,0,0,1,2738.0,15.82828283,0.0,0.0,0.0,0.0,2738.0,0.0
8,8,3D Systems,ipo,software,0,0,0,0,0,1,8778.0,10.07070707,0.0,0.0,0.0,0.0,0.0,0.0
9,9,3dCart Shopping Cart Software,operating,ecommerce,0,0,0,0,0,5,4628.0,15.21212121,4628.0,800000.0,0.0,0.0,0.0,0.0
10,10,3Guppies,operating,games_video,0,0,0,0,1,1,1190.0,17.58181818,0.0,0.0,0.0,0.0,1190.0,14600000.0
11,11,3Leaf,operating,software,1,0,0,0,0,6,1063.0,18.08080808,0.0,0.0,0.0,0.0,0.0,0.0
12,12,3TIER,operating,cleantech,0,0,0,0,1,1,3169.0,15.82828283,0.0,0.0,0.0,0.0,0.0,0.0
13,13,3VR,operating,security,1,0,0,0,0,1,1477.0,17.16969697,0.0,0.0,0.0,0.0,2571.0,3550000.0
14,14,41st Parameter,operating,security,1,0,0,0,0,1,858.0,18.08080808,0.0,0.0,0.0,0.0,0.0,0.0
15,15,"43 Things, The Robot Co-op",operating,software,0,0,0,0,1,8,78.0,18.08080808,0.0,0.0,0.0,0.0,0.0,0.0
16,16,4INFO,operating,advertising,1,0,0,0,0,1,425.0,18.08080808,0.0,0.0,0.0,0.0,0.0,0.0
17,17,6th Sense Analytics,acquired,software,0,0,0,0,0,1,680.0,18.08080808,0.0,0.0,0.0,0.0,1126.0,3750000.0
18,18,8x8 Inc,acquired,network_hosting,1,0,0,0,0,1,9041.0,10.47474747,0.0,0.0,0.0,0.0,0.0,0.0
19,19,A10 Networks,operating,network_hosting,1,0,0,0,0,10,92.0,18.08080808,0.0,0.0,0.0,0.0,92.0,4500000.0
20,20,A123 Systems,ipo,nanotech,0,0,1,0,0,1,1765.0,16.88888889,0.0,0.0,0.0,0.0,1765.0,22400000.0
21,21,AAIPharma Services,operating,biotech,0,0,0,0,0,1,12063.0,6.333333333,0.0,0.0,0.0,0.0,0.0,0.0
22,22,Aastrom Biosciences,operating,biotech,0,0,0,0,0,1,8468.0,11.52525253,0.0,0.0,0.0,0.0,0.0,0.0
23,23,Abacast,operating,analytics,0,0,0,0,1,4,3875.0,16.39393939,0.0,0.0,0.0,0.0,0.0,0.0
24,25,ABILITY Network,operating,medical,0,0,0,0,0,1,4154.0,16.39393939,0.0,0.0,0.0,0.0,0.0,0.0
25,26,aBIZinaBOX,operating,consulting,0,0,0,0,0,8,3705.0,15.46464646,3705.0,325000.0,0.0,0.0,0.0,0.0
26,27,Above All Software,operating,semiconductor,1,0,0,0,0,1,1247.0,17.16969697,0.0,0.0,0.0,0.0,0.0,0.0
